SiteID,1243941,Site Timezone,-6,Data Timezone,-6,Longitude,-96.8579406738,Latitude,33.0436172485
Year,Month,Day,Hour,Minute,power - DEPRECATED,wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 100m (C),air pressure at 100m (Pa),density - DEPRECATED
2011,1,1,0,30,N/A,348.1,8.33,8.8,98150,N/A
2011,1,1,1,30,N/A,343.98,7.53,8.370000000000001,98210,N/A
2011,1,1,2,30,N/A,349.58,7.53,7.5200000000000005,98270,N/A
2011,1,1,3,30,N/A,20.92,8.9,5.71,98320,N/A
2011,1,1,4,30,N/A,36.09,8.2,2.62,98410,N/A
2011,1,1,5,30,N/A,38.160000000000004,7.79,1.6400000000000001,98500,N/A
2011,1,1,6,30,N/A,35.07,7.53,1.04,98600,N/A
2011,1,1,7,30,N/A,31.11,7.5600000000000005,0.76,98690,N/A
2011,1,1,8,30,N/A,20.14,7.61,0.03,98770,N/A
2011,1,1,9,30,N/A,18.41,7.47,-0.34,98870,N/A
2011,1,1,10,30,N/A,3.29,6.62,0.08,98920,N/A
2011,1,1,11,30,N/A,358.86,6.45,0.73,98940,N/A
2011,1,1,12,30,N/A,355.28000000000003,5.88,1.36,98980,N/A
2011,1,1,13,30,N/A,356.58,4.8500000000000005,2.0100000000000002,99010,N/A
2011,1,1,14,30,N/A,350.40000000000003,4.86,2.62,99000,N/A
2011,1,1,15,30,N/A,351.91,4.08,2.9,99010,N/A
2011,1,1,16,30,N/A,353.82,3.74,2.91,99010,N/A
2011,1,1,17,30,N/A,350.7,3.8200000000000003,2.74,99030,N/A
2011,1,1,18,30,N/A,7.2,4.24,2.45,99080,N/A
2011,1,1,19,30,N/A,8.92,4.3500000000000005,2.05,99120,N/A
2011,1,1,20,30,N/A,23.7,3.81,1.81,99160,N/A
2011,1,1,21,30,N/A,37.480000000000004,3.3200000000000003,1.55,99200,N/A
2011,1,1,22,30,N/A,34.58,2.87,1.48,99230,N/A
2011,1,1,23,30,N/A,35.34,2.37,1.18,99250,N/A
2011,1,2,0,30,N/A,49.800000000000004,2.0100000000000002,0.77,99300,N/A
2011,1,2,1,30,N/A,61.6,2.23,0.5,99340,N/A
2011,1,2,2,30,N/A,64.73,2.52,0.36,99360,N/A
2011,1,2,3,30,N/A,69.47,2.88,0.25,99380,N/A
2011,1,2,4,30,N/A,62.050000000000004,2.7600000000000002,-0.03,99370,N/A
2011,1,2,5,30,N/A,80.2,2.86,-0.05,99410,N/A
2011,1,2,6,30,N/A,96.7,2.94,-0.5,99410,N/A
2011,1,2,7,30,N/A,103.74000000000001,3.47,-0.65,99430,N/A
2011,1,2,8,30,N/A,91.17,3.17,-0.45,99460,N/A
2011,1,2,9,30,N/A,129.93,3.0500000000000003,0.42,99450,N/A
2011,1,2,10,30,N/A,133.99,2.19,1.6,99430,N/A
2011,1,2,11,30,N/A,126.17,2.5300000000000002,2.48,99410,N/A
2011,1,2,12,30,N/A,136.85,2.37,3.47,99370,N/A
2011,1,2,13,30,N/A,148.03,2.48,4.48,99340,N/A
2011,1,2,14,30,N/A,151.70000000000002,2.91,5.25,99280,N/A
2011,1,2,15,30,N/A,153.56,3.5,5.7,99230,N/A
2011,1,2,16,30,N/A,152.42000000000002,3.95,5.8,99160,N/A
2011,1,2,17,30,N/A,154.79,4.5200000000000005,5.5,99130,N/A
2011,1,2,18,30,N/A,155.52,4.61,5.09,99120,N/A
2011,1,2,19,30,N/A,150.48,5.36,4.8100000000000005,99110,N/A
2011,1,2,20,30,N/A,144.75,6.36,4.62,99080,N/A
2011,1,2,21,30,N/A,143.49,6.93,4.41,99060,N/A
2011,1,2,22,30,N/A,144.3,7.44,4.14,99030,N/A
2011,1,2,23,30,N/A,149.25,8.19,3.73,99000,N/A
2011,1,3,0,30,N/A,152.89000000000001,8.540000000000001,3.34,99000,N/A
2011,1,3,1,30,N/A,163.65,8.66,3.73,98980,N/A
2011,1,3,2,30,N/A,163.47,8.69,3.42,98970,N/A
2011,1,3,3,30,N/A,167.14000000000001,8.01,2.94,98930,N/A
2011,1,3,4,30,N/A,168.65,7.8,2.74,98900,N/A
2011,1,3,5,30,N/A,172.57,8.1,2.65,98880,N/A
2011,1,3,6,30,N/A,176.75,9.03,2.82,98870,N/A
2011,1,3,7,30,N/A,176.33,9.35,2.63,98850,N/A
2011,1,3,8,30,N/A,180.69,8.89,2.58,98830,N/A
2011,1,3,9,30,N/A,180.93,7.17,3.5100000000000002,98820,N/A
2011,1,3,10,30,N/A,180.69,6.5200000000000005,5.49,98780,N/A
2011,1,3,11,30,N/A,183.53,6.88,7.21,98720,N/A
2011,1,3,12,30,N/A,186.82,7.42,8.94,98670,N/A
2011,1,3,13,30,N/A,185.1,7.38,10.26,98620,N/A
